0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
430,354,112,1,1672,761,407,742,1522,353,220,1689,1723,1260,610,54,896,474,851,711,1548,11,63,867,983,1682,864,234,783,892
1371,552,331,886,654,571,282,804,402,1365,852,1290,771,467,1321,580,261,700,987,1780,1537,368,128,1524,1857,1434,541,694,1458,753
353,610,354,1,851,864,234,983,1672,112,711,1689,220,1682,526,902,11,430,675,1260,456,999,892,742,604,761,1522,407,724,20
1750,1728,479,1671,900,825,144,1703,1807,759,1819,201,480,1758,712,1317,133,668,1356,1743,776,1801,860,453,170,1785,714,543,1519,581
711,1682,11,1672,112,892,353,1260,354,271,430,610,1,456,435,999,742,864,387,902,1522,761,851,234,407,1723,693,675,1529,983
1750,1728,1671,479,825,900,144,1703,1819,480,1807,759,201,1758,133,1317,712,776,714,668,1356,1743,1801,581,170,860,849,1740,1519,453
742,1522,430,761,407,1723,1260,474,112,1672,11,711,1682,354,271,353,1,892,54,896,379,750,986,610,435,851,1689,220,198,1518
711,1672,112,353,1682,11,354,1260,1,610,430,892,742,851,864,1522,761,407,234,271,983,1723,1689,456,999,902,220,435,474,526
1001,1799,622,1262,794,1818,440,898,442,1865,439,946,606,1754,1488,1681,1706,117,65,1518,774,836,1529,1523,174,198,1349,51,693,387
693,387,1523,774,836,1349,65,1529,1754,1865,439,435,892,1518,51,832,120,117,659,1681,999,440,456,442,622,1262,617,271,1682,794
1681,117,440,442,1518,794,1865,898,1262,1818,198,622,1529,435,606,1754,836,774,65,1523,750,379,986,387,271,693,174,439,1349,946
442,898,440,1681,198,606,794,117,1818,1518,750,986,379,1262,174,1865,622,946,435,1529,271,836,1754,774,65,1706,1488,1523,387,693
761,407,1522,742,430,1723,474,1260,112,1672,11,711,54,896,354,353,1682,271,1,892,379,750,986,610,1322,1689,220,783,851,435
1818,898,606,946,794,174,1488,1706,440,442,1262,198,1681,622,117,1518,986,750,379,1865,1799,1754,1529,435,836,774,65,271,1523,1001
946,1706,1488,174,606,1818,898,794,198,442,440,1681,1262,117,622,986,750,379,1518,1799,1865,435,271,1529,1754,836,774,65,1001,1523
1523,774,836,65,1529,1754,387,693,1349,1865,439,435,1518,117,1681,892,440,51,622,442,832,1262,120,659,794,271,999,456,198,1682
440,1865,1262,622,1681,117,442,794,1518,1754,1529,65,836,774,1818,898,1523,606,435,198,439,387,693,1349,750,379,986,271,946,174
1001,1799,622,1262,794,1818,440,898,946,442,1488,606,1706,1865,1681,439,1754,117,65,1518,174,774,836,1529,1523,198,1349,51,693,387
1522,742,761,407,1723,430,474,1260,112,11,1672,711,271,1682,354,54,353,896,1,379,750,986,892,435,610,198,851,1689,220,1322
946,1488,1706,174,606,1818,898,794,198,442,440,1681,1262,117,622,986,750,379,1799,1518,1865,435,271,1529,1754,1001,836,774,65,1523
1488,1706,946,1818,1799,606,898,174,794,1262,622,440,442,198,1681,1001,117,1518,1865,986,750,379,1754,1529,65,836,774,435,1523,271
898,606,1818,442,794,440,198,1681,117,1518,174,946,1262,986,750,379,622,1865,435,1706,1488,1529,271,1754,836,774,65,1523,387,693
198,606,898,174,1818,986,750,442,379,440,1681,794,117,1518,946,1706,271,1488,1262,435,1865,622,1529,836,774,1754,65,1523,892,387
1322,558,783,734,896,54,560,1432,217,330,422,965,1826,102,1343,100,457,328,1346,817,1700,407,474,761,1522,518,415,1723,1642,742
