0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
6.0,6.0,16.0,163.0,1.0,4.0,1.0,4.0,1.0,6.0,9.0,1.0,1.0,4.0,4.0,20.0,1.0,6.0,4.0,4.0,1.0,102.0,17.0,3.0,4.0,1.0,4.0,9.0,3.0,5.0
1.0,3.0,5.0,3.0,3.0,4.0,6.0,3.0,5.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,6.0,3.0,3.0,1.0,1.0,4.0,11.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0
6.0,4.0,6.0,163.0,4.0,4.0,9.0,4.0,1.0,16.0,4.0,1.0,9.0,1.0,4.0,4.0,102.0,6.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,77.0
1.0,1.0,7.0,1.0,3.0,3.0,19.0,1.0,1.0,6.0,1.0,13.0,1.0,1.0,5.0,2.0,12.0,5.0,2.0,1.0,3.0,1.0,6.0,1.0,9.0,1.0,1.0,6.0,1.0,3.0
4.0,1.0,102.0,1.0,16.0,5.0,6.0,4.0,6.0,9.0,6.0,4.0,163.0,6.0,7.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,9.0,1.0,1.0,5.0,4.0,1.0,4.0
1.0,1.0,1.0,7.0,3.0,3.0,19.0,1.0,1.0,1.0,1.0,6.0,13.0,1.0,12.0,2.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,3.0,9.0,6.0,3.0,1.0,1.0,1.0
4.0,1.0,6.0,4.0,1.0,1.0,4.0,6.0,16.0,1.0,102.0,4.0,1.0,6.0,9.0,6.0,163.0,5.0,20.0,1.0,7.0,4.0,4.0,4.0,7.0,4.0,1.0,9.0,12.0,1.0
4.0,1.0,16.0,6.0,1.0,102.0,6.0,4.0,163.0,4.0,6.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,9.0,9.0,4.0,1.0,1.0,6.0,5.0,4.0,9.0,7.0,6.0,4.0
5.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,6.0,1.0,7.0,5.0,5.0,1.0,1.0,1.0,1.0,18.0,28.0,1.0,5.0,5.0,1.0,1.0,1.0,12.0,1.0,33.0,5.0,1.0
5.0,1.0,1.0,5.0,5.0,1.0,28.0,1.0,1.0,1.0,7.0,7.0,5.0,1.0,33.0,4.0,17.0,18.0,4.0,1.0,5.0,1.0,6.0,6.0,5.0,4.0,4.0,9.0,1.0,5.0
1.0,18.0,1.0,6.0,1.0,5.0,1.0,5.0,4.0,1.0,12.0,5.0,1.0,7.0,5.0,1.0,5.0,5.0,28.0,1.0,4.0,7.0,4.0,1.0,9.0,5.0,1.0,7.0,1.0,5.0
6.0,5.0,1.0,1.0,12.0,5.0,5.0,18.0,1.0,1.0,4.0,4.0,7.0,4.0,1.0,1.0,5.0,5.0,7.0,1.0,9.0,5.0,1.0,5.0,28.0,1.0,1.0,1.0,1.0,5.0
4.0,1.0,1.0,4.0,6.0,1.0,6.0,4.0,16.0,1.0,102.0,4.0,20.0,1.0,6.0,6.0,1.0,9.0,163.0,5.0,7.0,4.0,4.0,4.0,1.0,1.0,9.0,3.0,4.0,7.0
1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,6.0,4.0,12.0,1.0,5.0,18.0,1.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,28.0,9.0,1.0,5.0
5.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,12.0,6.0,1.0,1.0,4.0,18.0,5.0,4.0,4.0,7.0,1.0,1.0,1.0,7.0,9.0,1.0,1.0,5.0,5.0,28.0,5.0,1.0
1.0,5.0,5.0,28.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,7.0,1.0,18.0,1.0,5.0,1.0,33.0,5.0,6.0,4.0,4.0,17.0,4.0,5.0,9.0,5.0,6.0,12.0,1.0
1.0,1.0,4.0,5.0,1.0,18.0,6.0,5.0,1.0,1.0,1.0,28.0,5.0,5.0,1.0,5.0,1.0,5.0,7.0,12.0,7.0,1.0,5.0,1.0,4.0,7.0,4.0,9.0,5.0,1.0
5.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,6.0,1.0,5.0,1.0,1.0,1.0,7.0,1.0,18.0,28.0,1.0,1.0,5.0,5.0,1.0,1.0,12.0,1.0,33.0,5.0,1.0
1.0,4.0,4.0,1.0,1.0,6.0,6.0,4.0,16.0,102.0,1.0,4.0,9.0,1.0,6.0,20.0,6.0,1.0,163.0,7.0,4.0,4.0,5.0,7.0,4.0,12.0,4.0,1.0,9.0,1.0
5.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,12.0,6.0,1.0,1.0,4.0,18.0,5.0,4.0,4.0,7.0,1.0,1.0,1.0,7.0,9.0,1.0,1.0,5.0,5.0,5.0,28.0,1.0
1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,6.0,12.0,1.0,5.0,18.0,1.0,1.0,4.0,4.0,7.0,1.0,1.0,28.0,5.0,5.0,7.0,1.0,9.0
5.0,5.0,1.0,6.0,5.0,1.0,12.0,1.0,18.0,1.0,1.0,5.0,4.0,4.0,4.0,7.0,5.0,1.0,7.0,1.0,1.0,1.0,9.0,1.0,5.0,5.0,28.0,1.0,1.0,5.0
12.0,5.0,5.0,1.0,1.0,4.0,4.0,6.0,7.0,1.0,1.0,5.0,18.0,1.0,5.0,1.0,9.0,1.0,4.0,7.0,1.0,5.0,1.0,5.0,5.0,1.0,28.0,1.0,5.0,1.0
1.0,3.0,3.0,3.0,1.0,20.0,2.0,1.0,6.0,5.0,3.0,2.0,1.0,12.0,1.0,11.0,4.0,5.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0
20.0,1.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,4.0,6.0,3.0,3.0,4.0,16.0,1.0,2.0,102.0,6.0,163.0,6.0,4.0,1.0,6.0,17.0,1.0,3.0,9.0,9.0,1.0
1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,12.0,6.0,1.0,4.0,5.0,1.0,18.0,4.0,4.0,7.0,1.0,1.0,5.0,7.0,1.0,9.0,1.0,5.0,5.0,28.0,1.0
5.0,4.0,1.0,1.0,1.0,5.0,28.0,1.0,18.0,6.0,1.0,5.0,5.0,1.0,1.0,7.0,1.0,5.0,1.0,5.0,1.0,7.0,5.0,12.0,33.0,4.0,7.0,4.0,5.0,9.0
5.0,1.0,102.0,9.0,4.0,7.0,4.0,1.0,1.0,5.0,16.0,1.0,5.0,5.0,1.0,1.0,7.0,4.0,4.0,18.0,1.0,28.0,6.0,5.0,1.0,1.0,1.0,12.0,4.0,6.0
