会员编号,x,y,预订任务限额,预订任务开始时间,信誉值
B0001,22.947097,113.679983,114,6:30:00,67997.3868
B0002,22.577792,113.966524,163,6:30:00,37926.5416
B0003,23.192458,113.347272,139,6:30:00,27953.0363
B0004,23.255965,113.31875,98,6:30:00,25085.6986
B0005,33.65205,116.97047,66,6:30:00,20919.0667
B0006,22.262784,112.79768,72,6:30:00,18237.6295
B0007,29.560903,106.239083,15,6:30:00,15729.3601
B0008,23.143373,113.376315,95,6:42:00,14868.4446
B0009,23.28528,113.651842,110,6:36:00,13556.1555
B0010,23.099259,113.488909,64,6:36:00,13327.9511
B0011,23.192462,113.34726,89,6:42:00,11349.0899
B0012,22.548889,113.955368,102,6:33:00,10957.5811
B0013,23.178845,113.358177,90,6:45:00,10427.7392
B0014,23.054911,113.768888,232,6:30:00,10210.6765
B0015,23.053426,113.761634,217,6:33:00,10187.7506
B0016,23.054769,113.65272,171,6:30:00,9495.8126
B0017,22.92814,114.081898,52,6:39:00,9065.9062
B0018,23.146943,113.305001,85,6:48:00,8549.9583
B0019,23.025829,113.317362,73,6:33:00,7054.4886
B0020,23.012667,113.839206,94,6:30:00,6824.2516
B0021,22.574867,113.920188,77,6:36:00,6510.0602
B0022,27.124487,111.017906,1,6:30:00,6494.3768
B0023,23.262722,113.29603,73,6:39:00,6105.2056
B0024,23.216283,113.29179,60,6:54:00,5207.8348
B0025,22.724052,113.922057,38,6:30:00,4268.3089
B0026,23.025831,113.31738,57,6:36:00,4236.5421
B0027,23.141684,113.262137,62,6:51:00,4182.3338
B0028,23.173014,113.320705,58,7:00:00,3836.0711
B0029,23.187008,113.257642,56,6:57:00,3562.2053
B0030,23.10714,113.301889,43,7:06:00,3039.9026
B0031,22.667339,114.007186,25,6:39:00,2923.8802
B0032,23.129688,113.409023,34,7:00:00,2755.8648
B0033,22.993463,114.728544,29,6:30:00,2635.5945
B0034,22.799744,113.782606,19,6:33:00,2274.9848
B0035,23.125731,113.402306,29,7:09:00,2148.7238
